,function_value,cost,info,colsample_bylevel,colsample_bytree,eta,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample_per_it
0,0.09335219236209336,0.7041471004486084,"{'train_loss': 0.09825783972125435, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4228517846555483,0.3325518669470728,0.05328149838599586,12,5.703795414094354,11.918326334078655,8.88491906309092,0.2593279491396472
1,0.13154172560113153,0.30271363258361816,"{'train_loss': 0.13170731707317074, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7231212485077365,0.8909290680329012,0.421582645473873,1,23.855670113869934,38.9632355426145,290.70426364986594,0.46158078718632944
2,0.4837340876944838,0.19072413444519043,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.010113231069171438,0.7541906437100742,0.06632305946523501,3,15.628851478251462,0.0015265946697144296,263.0230909924832,0.10264729907461963
3,0.4837340876944838,0.7132370471954346,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.30930924690552136,0.7650057744906595,0.005588186330209338,15,1.1799656989994887,800.8701659050896,0.22023270416271143,0.4605373793870635
4,0.3224893917963225,0.5421216487884521,"{'train_loss': 0.3059233449477352, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.15528833190894192,0.4747842382743265,0.007605713102396596,15,87.11572002070457,0.003463520182639747,4.7594320827764225,0.9038822474800192
5,0.20933521923620935,0.21098637580871582,"{'train_loss': 0.19512195121951215, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.10141520882110981,0.21865685744401833,0.03926058800260826,9,6.320508468610041,4.8618205310110865,1.3535113962219718,0.15171704552511167
6,0.12446958981612444,0.24196767807006836,"{'train_loss': 0.1226480836236934, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.1943976092638942,0.05106032878073389,0.7688542967703038,10,6.302016833469495,0.007742505491604606,81.05472743454989,0.4506665890836108
7,0.4837340876944838,0.21366071701049805,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.35210511977261727,0.32861051197054203,0.003508222693692459,5,60.73646890978763,1.3341583733955902,0.0021279150291908374,0.3388095737480398
8,0.28712871287128716,0.21286296844482422,"{'train_loss': 0.2578397212543554, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.40279979948836325,0.04674153784905448,0.033469336965174463,15,10.482749869857198,0.0035619966427395035,5.813910862640401,0.1330989628736917
9,0.09335219236209336,0.38620519638061523,"{'train_loss': 0.09825783972125435, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5434285666633234,0.6969168572601607,0.010582916176030492,11,8.922707579854292,49.3168517447806,0.37755729568977625,0.46045320667591483
10,0.3988684582743989,0.2209165096282959,"{'train_loss': 0.39442508710801394, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4250025692592619,0.6736465316168067,0.202676882684172,11,22.300389561141415,43.97526436702844,148.942940764872,0.3140277948557071
11,0.057991513437057995,0.21691083908081055,"{'train_loss': 0.06480836236933796, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6883673053927919,0.43616706491752527,0.2550169179219648,1,2.7941297873932904,3.8986517713772058,13.522880254148255,0.8478725989995488
12,0.032531824611032545,0.48751401901245117,"{'train_loss': 0.037630662020905925, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.21240772723420226,0.7701110878815912,0.01852476566482969,13,12.978977711327207,0.0011947018932871739,0.03641034218804049,0.6792628208329314
13,0.04384724186704381,0.5929930210113525,"{'train_loss': 0.04668989547038327, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.879336262027036,0.5406484097921681,0.004019481149377101,12,25.63387487207666,0.0017486828949300603,0.006279106592181494,0.5289117548078823
14,0.29702970297029707,0.1697854995727539,"{'train_loss': 0.27386759581881537, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.0371137172659469,0.04946132736909804,0.0015547459811368414,11,13.655752396017949,0.012001954269880807,1.7737879974889545,0.7379260029367692
15,0.4837340876944838,0.20531797409057617,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6737628350766182,0.14344518678107226,0.0038698212503893003,12,31.153621206263118,694.8768075857143,796.7526158293261,0.1894452532356345
16,0.11739745403111734,0.20694971084594727,"{'train_loss': 0.09825783972125435, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4231317543434557,0.2014822350247692,0.006452207277783594,3,18.24912571886612,0.03330779773960171,0.12483938906679197,0.7812804096162186
17,0.4837340876944838,0.1932389736175537,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5631029301612941,0.3423071631530033,0.061977534671574755,11,59.295007608966436,32.4506735296197,960.894997597313,0.36873290400015746
18,0.31541725601131543,0.4724922180175781,"{'train_loss': 0.32264808362369335, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.14898306920928145,0.061789816973101985,0.4148998304452494,2,71.21925008699407,0.048184207641519,1.2847649846664213,0.552496330746775
19,0.02970297029702973,0.8335232734680176,"{'train_loss': 0.036236933797909376, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.20612047419403,0.6090656126953625,0.002375273551886757,11,1.6075620458473012,0.0337345879572014,0.013666103573710973,0.18475989784786478
