,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
193,1029_LEV,MMTGP,21575,1321.5669830000002,1337.9681513309479,0.0,0.0,135,0.3620734155627826,0.4544808262617172,0.6068407967683698,0.40298510455253933,0.496157600991896,0.5420623811902963
194,1029_LEV,MMTGP,22118,1353.57395111,1370.6259922981262,0.0,0.0,137,0.3748435903525816,0.4626889467529062,0.5847170819374128,0.3966022250238653,0.47717251948753014,0.5755541256165826
195,1029_LEV,MMTGP,23654,847.510189181,855.8229587078094,0.0,0.0,141,0.3671281638719226,0.4568150014333221,0.5982686627579152,0.41020354472250103,0.46471074528808665,0.5433577667220663
196,1029_LEV,MMTGP,29802,1167.9344389340001,1192.5158562660217,0.0,0.0,163,0.371400595404716,0.46309417138208026,0.6021473299133828,0.39970729618206274,0.4716200932551157,0.5253874532377285
197,1029_LEV,MMTGP,5390,1194.60786299,1243.34548330307,0.0,0.0,155,0.38934901172042485,0.4737659069629138,0.58845615431946,0.3654437278198797,0.47042068895893047,0.5456397981113115
198,1029_LEV,MMTGP,6265,1342.350246587,1356.7637672424316,0.0,0.0,149,0.3573420627649711,0.45703109829121125,0.6082730128033202,0.44716394205746435,0.5025723961553283,0.5044725819398668
199,1029_LEV,MMTGP,860,718.398043836,724.3575572967529,0.0,0.0,152,0.36528559321477505,0.44604365924669387,0.5823716540989614,0.4140790466197254,0.494891759179595,0.5926022760530053
270,1030_ERA,MMTGP,11284,1404.545438503,1423.0940601825714,0.0,0.0,172,2.383282073560986,1.243373423110574,0.4122308737169402,2.37917548491065,1.2079708822733957,0.3059127886680313
271,1030_ERA,MMTGP,11964,1388.560057011,1412.814576625824,0.0,0.0,139,2.318733049660129,1.2140388953585814,0.4089767080123461,2.4950298597371883,1.2745558840834699,0.36670768598590664
272,1030_ERA,MMTGP,15795,1373.7608917579998,1677.887950181961,0.0,0.0,133,2.3381822917361528,1.2203048423227272,0.39394234319803645,2.5381786274851277,1.2665890733111855,0.3813448811999778
273,1030_ERA,MMTGP,21575,1104.089451414,1195.2045991420746,0.0,0.0,175,2.3873267278429626,1.239560828426572,0.3998061655551066,2.389468922712601,1.2125648553361694,0.36762713712451434
274,1030_ERA,MMTGP,22118,1260.182255151,1275.78711104393,0.0,0.0,170,2.3907393277725397,1.2253618598725915,0.38868168279507587,2.2590939276141286,1.2478916701190355,0.4308646648881709
275,1030_ERA,MMTGP,23654,1067.079391896,1167.8158869743347,0.0,0.0,152,2.2743281482074407,1.2060966886165272,0.4129356104603943,2.615867219781675,1.2855489734152294,0.34896286217479466
276,1030_ERA,MMTGP,29802,798.9377026039999,806.0119247436523,0.0,0.0,145,2.3534724876737183,1.2273766008604015,0.3782847288441611,2.3474386612687663,1.21409636576311,0.4591534000224947
277,1030_ERA,MMTGP,5390,1080.902385114,1092.0474514961243,0.0,0.0,122,2.3025300592342988,1.2050601539371535,0.4076015560755748,2.4786776264219332,1.2709142607282313,0.3866699725581556
278,1030_ERA,MMTGP,6265,1385.160904528,1398.6038842201233,0.0,0.0,161,2.3061697036937754,1.2153994140465008,0.4118247751857862,2.610498867635003,1.2934866818335955,0.33888390800567425
279,1030_ERA,MMTGP,860,1095.1200527899998,1112.5401968955994,0.0,0.0,123,2.397669353606245,1.2311946710642614,0.3900373563199905,2.2332646065975434,1.2373844786860542,0.41920474895413495
350,1089_USCrime,MMTGP,11284,2068.635294365,2139.7769787311554,0.0,0.0,150,15.760537608727825,2.8752833942990508,0.9885231345108074,350.9699470694293,15.93446091781363,0.825718055995428
351,1089_USCrime,MMTGP,11964,1742.205645665,1760.070621728897,0.0,0.0,121,17.053974863845927,2.9713879744622025,0.9885571628059185,691.0901379449346,21.580594753118778,0.5113932497161136
352,1089_USCrime,MMTGP,15795,2837.0297553220003,2914.481346130371,0.0,0.0,135,20.196410647033854,3.374259491640392,0.9854735353273268,361.86410503816927,16.023670140622887,0.8118306131108779
353,1089_USCrime,MMTGP,21575,2552.946648035,2675.3551375865936,0.0,0.0,115,11.938114492696663,2.5592451126090072,0.9911154992827892,248.40455457278145,14.11585019770692,0.8857074429947805
354,1089_USCrime,MMTGP,22118,2534.8212052540002,2627.962506055832,0.0,0.0,121,13.910486513647765,2.9205579580992924,0.9916577913475729,426.0018155443684,16.00878470793825,0.6558874198488284
355,1089_USCrime,MMTGP,23654,1963.365875816,2067.8583438396454,0.0,0.0,145,18.158378393915804,3.051119315807286,0.9878080923805848,359.9505452620597,15.9151044828604,0.7286279350704618
356,1089_USCrime,MMTGP,29802,1538.469683884,1556.4485301971436,0.0,0.0,118,25.268747329413426,3.5918448131155167,0.9813505679147343,229.85827008836256,12.43741684092997,0.8858174129123674
357,1089_USCrime,MMTGP,5390,1694.318441268,2411.0462131500244,0.0,0.0,135,19.061942213390928,3.4220798066118845,0.9875849591667382,338.7692550268121,13.830936765101862,0.7881395614335989
