,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
99,1028_SWD,MAPMX-GP,860,950.197271525,952.3344407081604,0.0,0.0,283,0.350174236488899,0.47360293003023807,0.46135732483508796,0.3970925252409361,0.5101011543066979,0.41522860376620474
170,1029_LEV,MAPMX-GP,11284,365.98466400899997,366.62673139572144,0.0,0.0,206,0.36727118437629475,0.4591016210895927,0.5774390648155742,0.4146089497694547,0.5024628789590757,0.5927220532716555
171,1029_LEV,MAPMX-GP,11964,366.53962142800003,367.50507712364197,0.0,0.0,171,0.37748390140233007,0.45687404896399675,0.5817251961240344,0.3664534599769595,0.475612796372485,0.603672995750749
172,1029_LEV,MAPMX-GP,15795,363.677079232,363.76697874069214,0.0,0.0,184,0.3450508256054903,0.4461872986018566,0.614792394324847,0.46836564297429967,0.5149073450607219,0.5096346038948385
173,1029_LEV,MAPMX-GP,21575,363.710127095,364.93827056884766,0.0,0.0,235,0.3700252393867079,0.46082968767810767,0.5982062696684075,0.4072066129541325,0.4972810899486479,0.5372652125521221
174,1029_LEV,MAPMX-GP,22118,363.91550477,364.99046540260315,0.0,0.0,179,0.3665860188653537,0.4594653489950061,0.5938655066979931,0.41173760891925215,0.4934268805533452,0.5593561548381292
175,1029_LEV,MAPMX-GP,23654,365.121560273,365.42939615249634,0.0,0.0,82,0.3718340592656815,0.4575809866957204,0.5931192194966903,0.4082654312942908,0.4716038902488582,0.5455152918229343
176,1029_LEV,MAPMX-GP,29802,361.108787093,361.7314522266388,0.0,0.0,96,0.38108598929610754,0.4704124807073972,0.5917721181657234,0.40539005415588875,0.4776435126880444,0.5186397449513063
177,1029_LEV,MAPMX-GP,5390,368.03311883900005,369.3094997406006,0.0,0.0,170,0.38733718692002034,0.46731339580032916,0.5905826631592679,0.3512163801622345,0.4606158074294271,0.563328815768373
178,1029_LEV,MAPMX-GP,6265,368.042649684,369.3921115398407,0.0,0.0,163,0.358791305117054,0.4582144845954903,0.6066843183856898,0.43966750141781785,0.5024954273850588,0.5127798078259997
179,1029_LEV,MAPMX-GP,860,363.62891302,363.6604254245758,0.0,0.0,255,0.3656212112160328,0.4548779910591723,0.5819879444938649,0.4165916078453251,0.5005149035633867,0.5901302559569803
250,1030_ERA,MAPMX-GP,11284,353.586157667,353.8079400062561,0.0,0.0,143,2.3844951327701187,1.2431579295872193,0.41193170696727544,2.361891215901849,1.2092250778728904,0.3109552036358709
251,1030_ERA,MAPMX-GP,11964,367.086250609,369.53620409965515,0.0,0.0,113,2.3401959878677663,1.2286965114886614,0.40350600650271573,2.490636634414007,1.2736135786622027,0.36782278119009637
252,1030_ERA,MAPMX-GP,15795,362.560275989,363.1053981781006,0.0,0.0,67,2.3364304846196435,1.221180652238864,0.3943964122070922,2.4957041608906603,1.2595236534287824,0.39169759865351794
