,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
187,1030_ERA,SHM-GP,5390,11902.87142469,11948.85853767395,0.0,0.0,132,2.2872494800336582,1.2068811995368185,0.4115329667880733,2.4701776161683777,1.2704250457324728,0.3887732357927517
188,1030_ERA,SHM-GP,6265,11334.939592761999,11340.994121313095,0.0,0.0,67,2.290955798787552,1.2055979510467854,0.415704993508049,2.6121588220692247,1.2829172939784912,0.3384635199327096
189,1030_ERA,SHM-GP,860,11489.157980016,11617.02557682991,0.0,0.0,54,2.3992845166245207,1.22301846170717,0.3896264618390147,2.24944960041412,1.2280569819723879,0.4149955891800965
240,1089_USCrime,SHM-GP,11284,10000.315914158,10012.185985326767,0.0,0.0,73,14.768105673543245,2.847671146293255,0.989245826090883,624.751830194,20.355039162924218,0.6897655642718457
241,1089_USCrime,SHM-GP,11964,9799.256743602,9803.517076253891,0.0,0.0,50,22.84819151322355,3.49931927060919,0.9846693725215184,776.1627293892998,21.753340720759727,0.4512461861688516
242,1089_USCrime,SHM-GP,15795,10500.005830651,10513.02019405365,0.0,0.0,78,23.858410682294302,3.2740479010682155,0.9828396062062952,548.8856193341804,16.475738009584266,0.7145793986627258
243,1089_USCrime,SHM-GP,21575,9635.20171236,9745.725254774094,0.0,0.0,49,19.45087587531311,3.63558457110035,0.9855244041452008,288.55247734471556,14.53885893062023,0.8672351216641828
244,1089_USCrime,SHM-GP,22118,9959.282674713,9967.655304431915,0.0,0.0,79,10.711891432314314,2.512380038664995,0.9935760094873146,325.63531395294996,13.63329568418218,0.736960726494801
245,1089_USCrime,SHM-GP,23654,9824.440954868,9896.828875303268,0.0,0.0,87,11.105529147076851,2.47474147972757,0.9925435199945359,741.3016923301915,20.221454103149792,0.441121638426896
246,1089_USCrime,SHM-GP,29802,9920.573626987,9947.701697826385,0.0,0.0,75,27.724670369847377,3.6462745936961167,0.9795379901342799,582.4427304353142,20.850536752875694,0.7106703284335913
247,1089_USCrime,SHM-GP,5390,9894.31891639,9962.443261861801,0.0,0.0,64,18.947673182142005,3.45846810897797,0.9876593825740201,515.7947286907274,15.982357931829952,0.6774308889925487
248,1089_USCrime,SHM-GP,6265,10192.248303029999,10269.37928724289,0.0,0.0,95,14.30085019441074,3.125523844907554,0.9909737043517616,449.19489445411983,15.642469830812622,0.6798880331702195
249,1089_USCrime,SHM-GP,860,9830.376861739,10088.884445667267,0.0,0.0,62,27.85103635863773,3.1141614298474782,0.9834933065913855,291.99108025474584,13.933570612818306,0.7502021972238886
300,1096_FacultySalaries,SHM-GP,11284,10351.615191015999,10387.745750665665,0.0,0.0,66,0.07889796845461279,0.2213358168672382,0.9967178761979056,36.95883083837046,2.973880589919218,-4.0032390953365145
301,1096_FacultySalaries,SHM-GP,11964,10468.687564716,10496.98299574852,0.0,0.0,76,0.07976265939057614,0.16444891250110213,0.9966287328460235,0.8156630552463571,0.4009542673130244,0.9335444666957131
302,1096_FacultySalaries,SHM-GP,15795,9845.075800478999,9848.22890496254,0.0,0.0,31,0.004279271708369959,0.02412094164117994,0.9996839434543043,32.80030699124636,1.928515673142305,0.19125584593828193
303,1096_FacultySalaries,SHM-GP,21575,10977.258160341,11049.276368141174,0.0,0.0,52,0.005720793032298978,0.03903817527563201,0.9995285658591008,0.010089896213555145,0.048455744916645054,0.9997596564157952
