,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
111,1028_SWD,PSTree,11964,480.415522748,480.44835472106934,0.0,0.0,1158,0.33047378892140483,0.45442739699178153,0.5192427889115867,0.3979498786551604,0.48301742478937687,0.2974247220149846
112,1028_SWD,PSTree,15795,491.404315833,491.612211227417,0.0,0.0,800,0.3347439056962513,0.468494207876182,0.4982373823384568,0.39887528330277966,0.511573730218832,0.36444346191399024
113,1028_SWD,PSTree,21575,488.73626938,488.80805921554565,0.0,0.0,917,0.33179451965677537,0.4599924808314383,0.5044279473746001,0.3883506093308425,0.4896404402900951,0.369969809651456
114,1028_SWD,PSTree,22118,493.54668559299995,503.14269971847534,0.0,0.0,644,0.31699245027010314,0.44646768530011494,0.5387784447052948,0.44180997540579925,0.5375582663884453,0.21080558281567208
115,1028_SWD,PSTree,23654,472.305359778,475.0859971046448,0.0,0.0,918,0.3440736662090193,0.4673938379455765,0.4838895006864711,0.3663418706539351,0.4736765413955483,0.4181207421822425
116,1028_SWD,PSTree,29802,478.535659708,478.6064615249634,0.0,0.0,1079,0.3193798309778724,0.4453883148936608,0.5090157012160338,0.4195885517203891,0.5300232953481697,0.3795858789532679
117,1028_SWD,PSTree,5390,504.271459974,504.2819170951843,0.0,0.0,827,0.3331825108992413,0.4669079182064441,0.5032148928557181,0.3986197055890127,0.5018967343029035,0.35088372894626785
118,1028_SWD,PSTree,6265,494.678597743,501.52438402175903,0.0,0.0,773,0.31731594450512046,0.4495035919432458,0.5250658723591011,0.41989362588327334,0.5197130817147034,0.315224099318845
119,1028_SWD,PSTree,860,492.52172749799996,492.5953438282013,0.0,0.0,1005,0.3315870357207404,0.4608239450346118,0.48994840465287937,0.3911578024242423,0.5012786967257887,0.42396827003333704
170,1029_LEV,PSTree,11284,456.143410725,459.87029552459717,0.0,0.0,767,0.3669788039599372,0.45262787449195624,0.5777754607742591,0.42517201495421125,0.5058473945675098,0.5823457613416393
171,1029_LEV,PSTree,11964,453.044246171,453.0944335460663,0.0,0.0,749,0.38790847067991185,0.46422239760757467,0.5701741481088116,0.36510866835788386,0.4790161830399087,0.6051274157301954
172,1029_LEV,PSTree,15795,456.901733674,457.0291829109192,0.0,0.0,696,0.3497371908226312,0.4495086996820385,0.6095606331156211,0.475211962016083,0.5188792595977191,0.5024667042011997
173,1029_LEV,PSTree,21575,456.03802880700005,458.49727749824524,0.0,0.0,606,0.3618016255648307,0.4518519502710307,0.6071359212775111,0.4224929177292718,0.4979292672765306,0.519894411671282
174,1029_LEV,PSTree,22118,467.272550196,467.3744752407074,0.0,0.0,1106,0.3661626669647185,0.4578245387931814,0.594334531158296,0.4168538960104293,0.49075957040658086,0.5538806763587015
175,1029_LEV,PSTree,23654,453.808325907,453.9062571525574,0.0,0.0,728,0.3649597044259428,0.45981904750908426,0.6006415074446351,0.4124438888721628,0.4771854402712577,0.5408637956948175
176,1029_LEV,PSTree,29802,469.32195180400004,471.41923236846924,0.0,0.0,838,0.36992480109070647,0.4628055720551189,0.6037282339711363,0.40268366690578034,0.4730627573327507,0.5218533098713567
177,1029_LEV,PSTree,5390,485.253065755,487.1503372192383,0.0,0.0,716,0.3862161068714463,0.47527258052190435,0.5917676503574303,0.3503112314436096,0.46802059765354725,0.5644541971150092
178,1029_LEV,PSTree,6265,448.19450818,448.26068592071533,0.0,0.0,505,0.36406529272750837,0.4610301767595068,0.6009028459747167,0.43823660607177795,0.5006103337706039,0.5143654631296788
179,1029_LEV,PSTree,860,462.719709075,462.77923583984375,0.0,0.0,751,0.36111456960608523,0.45753420420750757,0.5871403548710916,0.42210214024992754,0.509895953316533,0.5847086380854707
230,1030_ERA,PSTree,11284,460.864470561,463.42142128944397,0.0,0.0,660,2.3465866873850065,1.22743713526683,0.42128075300338497,2.3624943674415504,1.1877923689456928,0.3107792436140663
231,1030_ERA,PSTree,11964,455.545791668,455.5719792842865,0.0,0.0,1057,2.303114535482725,1.2141016381366019,0.41295772068926373,2.477060697308515,1.2781088261160403,0.3712686464132694
232,1030_ERA,PSTree,15795,462.461170543,463.24176144599915,0.0,0.0,822,2.3042460220121885,1.203690256704824,0.40273863602011295,2.482048873795563,1.2569970928132952,0.39502593542563713
233,1030_ERA,PSTree,21575,448.9671913,448.9813618659973,0.0,0.0,1118,2.3783338011224826,1.2422735636819315,0.4020670622762369,2.3025094515243807,1.1862375997700452,0.39064095798936405
234,1030_ERA,PSTree,22118,456.74449952000003,456.7722246646881,0.0,0.0,968,2.38306434683591,1.2264901043111807,0.3906441955526385,2.3309120181338714,1.2688614839031889,0.41277147605904874
235,1030_ERA,PSTree,23654,440.12655148199997,440.19705867767334,0.0,0.0,666,2.3022575008852586,1.215477754456705,0.4057263041019592,2.6261916567492696,1.2908628967552558,0.3463933158911724
236,1030_ERA,PSTree,29802,464.74760828,465.23275089263916,0.0,0.0,551,2.336156654614107,1.2306995685222866,0.38285904101578394,2.3116643706865565,1.2062511832644032,0.46739574677567364
237,1030_ERA,PSTree,5390,460.467983993,464.2552237510681,0.0,0.0,1097,2.275336789921029,1.2069560048915173,0.4145978818615479,2.547513634933068,1.2908625769796422,0.3696370229970357
238,1030_ERA,PSTree,6265,466.213609943,466.2902615070343,0.0,0.0,753,2.278801117523081,1.2094018787294594,0.4188049745605382,2.5498059342360753,1.2828860882175166,0.35425456203576866
